SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE

MLS Listing,,Condo/Co-op,41 Via Huelva,San Clemente,CA,92673,1099000,3,2.5,Verano (VERA),1840,7514,2004,2,597,597,Active,March-1-2026 11:00 AM,March-1-2026 02:00 PM,https://www.redfin.com/CA/San-Clemente/41-Via-Huelva-92673/home/5979974,CRMLS,OC26025056,N,Y,33.4693256,-117.6035114
MLS Listing,,Condo/Co-op,98 Carlsbad Ln,Aliso Viejo,CA,92656,745000,2,2.0,Coronado (CORO),918,658990,1995,8,812,570,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Aliso-Viejo/98-Carlsbad-Ln-92656/home/5607523,CRMLS,OC26035576,N,Y,33.5806797,-117.737097
MLS Listing,,Single Family Residential,16 Fosco St,Rancho Mission Viejo,CA,92694,1179000,3,2.5,Aria (ESARI),1827,2804,2018,11,645,357,Active,,,https://www.redfin.com/CA/Rancho-Mission-Viejo/16-Fosco-St-92694/home/143913107,CRMLS,OC26027043,N,Y,33.5438967,-117.594547
MLS Listing,,Condo/Co-op,2253 Martin #321,Irvine,CA,92612,653999,1,1.0,Metropolitan (MET),835,41728,1993,14,783,679,Active,February-28-2026 01:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/Irvine/2253-Martin-92612/unit-321/home/5555118,CRMLS,OC26030383,N,Y,33.6732123,-117.8582586
MLS Listing,,Single Family Residential,142 Marion Blvd,Fullerton,CA,92835,1300000,3,2.0,83 - Fullerton,1775,10000,1924,14,732,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Fullerton/142-Marion-Blvd-92835/home/4088511,CRMLS,SW26031362,N,Y,33.8885624,-117.9200662
MLS Listing,,Condo/Co-op,1154 Scholarship,Irvine,CA,92612,799900,2,2.0,Avenue One (AVE1),1052,,2006,17,760,600,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/1154-Scholarship-92612/home/12255008,CRMLS,OC26028526,N,Y,33.668038,-117.851312
MLS Listing,,Condo/Co-op,89 Calle De Felicidad,Rancho Santa Margarita,CA,92688,849000,2,2.5,Los Abanicos (LOSA),911,18514,1996,17,932,201,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Rancho-Santa-Margarita/89-Calle-de-Felicidad-92688/home/5232649,CRMLS,OC26026435,N,Y,33.6376648,-117.5947247
MLS Listing,,Condo/Co-op,21466 Cypresswood,Lake Forest,CA,92630,975000,3,2.5,Smoketree (ST),1526,,1983,17,639,530,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Lake-Forest/21466-Cypresswood-92630/home/5743744,CRMLS,OC26029326,N,Y,33.6512694,-117.6902972
MLS Listing,,Single Family Residential,10212 Pua Dr,Huntington Beach,CA,92646,1550000,4,2.0,699 - Not Defined,1787,6210,1963,17,867,,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Huntington-Beach/10212-Pua-Dr-92646/home/3815542,CRMLS,OC26021972,N,Y,33.6847047,-117.9501993
MLS Listing,,Single Family Residential,31981 Lazy Glen Ln,Trabuco Canyon,CA,92679,1199000,3,2.5,Other (OTHR),1678,5130,1985,18,715,145,Active,,,https://www.redfin.com/CA/Trabuco-Canyon/31981-Lazy-Glen-Ln-92679/home/5091598,CRMLS,OC26024897,N,Y,33.6525131,-117.5738664
MLS Listing,,Mobile/Manufactured Home,252 Mayflower Dr,Newport Beach,CA,92660,783000,2,2.0,Bayside Village (BAYV),1271,447156,2013,19,616,,Active,February-28-2026 02:30 PM,February-28-2026 05:30 PM,https://www.redfin.com/CA/Newport-Beach/252-Mayflower-Dr-92660/home/58552886,CRMLS,OC26022123,N,Y,33.6174558,-117.8988671
MLS Listing,,Condo/Co-op,1371 Oakmont Rd Unit 150K,Seal Beach,CA,90740,575000,2,1.0,Leisure World (LW),1150,,1968,21,500,588,Active,,,https://www.redfin.com/CA/Seal-Beach/1371-Oakmont-Rd-90740/unit-150K/home/174932617,CRMLS,OC26027779,N,Y,33.7694757,-118.088773
MLS Listing,,Single Family Residential,4231 W Hill Ave,Fullerton,CA,92833,1050000,5,2.0,Other (OTHR),1936,6000,1962,23,542,,Active,February-28-2026 12:00 AM,February-28-2026 11:59 PM,https://www.redfin.com/CA/Fullerton/4231-W-Hill-Ave-92833/home/3310548,CRMLS,OC26022004,N,Y,33.8617079,-117.982457
MLS Listing,,Single Family Residential,1446 Beechwood Dr,Brea,CA,92821,1450000,3,4.0,North Hills (NORH),2211,10974,1980,23,656,180,Active,,,https://www.redfin.com/CA/Brea/1446-Beechwood-Dr-92821/home/4139367,CRMLS,PW26024892,N,Y,33.9421721,-117.9073318
MLS Listing,,Multi-Family (2-4 Unit),1405 S Broadway,Santa Ana,CA,92707,1535000,6,4.0,Other (OTHR),3272,6098,1951,25,469,,Active,,,https://www.redfin.com/CA/Santa-Ana/1405-S-Broadway-92707/home/3082421,CRMLS,OC26025435,N,Y,33.7286751,-117.8695958
MLS Listing,,Single Family Residential,2207 Golden Cir,Newport Beach,CA,92660,2699000,4,2.5,Other (OTHR),3000,11761,1957,28,900,,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Newport-Beach/2207-Golden-Cir-92660/home/3565991,CRMLS,OC26022565,N,Y,33.6550416,-117.8817275
MLS Listing,,Condo/Co-op,1345 Cabrillo Park Dr Unit Q02,Santa Ana,CA,92701,415000,1,1.0,Other (OTHR),696,475139,1977,28,596,455,Active,,,https://www.redfin.com/CA/Santa-Ana/1345-Cabrillo-Park-Dr-92701/unit-Q02/home/17473906,CRMLS,OC26022848,N,Y,33.757282,-117.840342
MLS Listing,,Townhouse,10403 Stratton Ct,Cypress,CA,90630,749900,4,2.5,Other (OTHR),1327,1161,1964,29,565,290,Active,,,https://www.redfin.com/CA/Cypress/10403-Stratton-Ct-90630/home/3971580,CRMLS,IG26020833,N,Y,33.8115857,-118.061065
MLS Listing,,Condo/Co-op,3049 Scholarship,Irvine,CA,92612,1799000,2,2.5,3000 The Plaza (3PLZ),2024,51705,2007,29,889,2049,Active,,,https://www.redfin.com/CA/Irvine/3049-Scholarship-92612/home/21930293,CRMLS,OC26020846,N,Y,33.667131,-117.85241
MLS Listing,,Single Family Residential,411 Parsons St,La Habra,CA,90631,979999,3,2.0,Other (OTHR),1604,5880,1958,30,611,,Active,February-28-2026 12:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/La-Habra/411-Parsons-St-90631/home/3108946,CRMLS,OC26018281,N,Y,33.9350635,-117.9759381
MLS Listing,,Condo/Co-op,17926 Irvine Blvd,Tustin,CA,92780,639000,2,2.0,Palmwood Gardens (PALG),1054,311663,1964,30,606,499,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Tustin/17926-Irvine-Blvd-92780/home/5419180,CRMLS,OC26012948,N,Y,33.7481563,-117.8195198
MLS Listing,,Condo/Co-op,1064 Calle Del Cerro #1307,San Clemente,CA,92672,629000,2,2.0,Vista Pacifica (VP),877,53411,1986,31,717,609,Active,,,https://www.redfin.com/CA/San-Clemente/1064-Calle-del-Cerro-92672/unit-1307/home/5201465,CRMLS,OC25281774,N,Y,33.4467481,-117.598251
MLS Listing,,Condo/Co-op,12200 Montecito Rd Unit D301,Seal Beach,CA,90740,449000,1,1.0,Other (OTHR),729,402519,1969,36,616,495,Active,,,https://www.redfin.com/CA/Seal-Beach/12200-Montecito-Rd-90740/unit-D301/home/5534874,CRMLS,OC26013936,N,Y,33.785461,-118.074849
MLS Listing,,Single Family Residential,8291 San Helice Dr,Buena Park,CA,90620,987500,3,2.0,Other (OTHR),1585,6100,1955,36,623,,Active,,,https://www.redfin.com/CA/Buena-Park/8291-San-Helice-Cir-90620/home/3295096,CRMLS,FR26014113,N,Y,33.8420169,-118.0150779
MLS Listing,,Condo/Co-op,1301 Lasso Way #205,Ladera Ranch,CA,92694,665000,2,2.0,Serenity (SRNTY),1089,111338,2022,37,611,632,Active,,,https://www.redfin.com/CA/Ladera-Ranch/1301-Lasso-Way-92694/unit-205/home/188071245,CRMLS,OC26014987,N,Y,33.5231094,-117.586209
MLS Listing,,Single Family Residential,27858 Via Sarasate,Mission Viejo,CA,92692,953000,2,2.0,Casta Del Sol - Fiesta (CF),1503,3478,1976,38,634,603,Active,,,https://www.redfin.com/CA/Mission-Viejo/27858-Via-Sarasate-92692/home/5073278,CRMLS,OC26005936,N,Y,33.6122676,-117.6436258
MLS Listing,,Condo/Co-op,25701 View Pointe,Lake Forest,CA,92630,565000,2,1.0,White Oak (WO),957,209044,1983,39,590,510,Active,,,https://www.redfin.com/CA/Lake-Forest/25701-View-Pointe-92630/home/179469469,CRMLS,OC26011278,N,Y,33.6396256,-117.6799368
MLS Listing,,Single Family Residential,24882 Timberwood Way,Lake Forest,CA,92630,1775000,5,2.5,Woods (TW),2912,7100,1976,44,610,240,Active,,,https://www.redfin.com/CA/Lake-Forest/24882-Timberwood-Way-92630/home/4827098,CRMLS,OC26009532,N,Y,33.641502,-117.696044
MLS Listing,,Condo/Co-op,14 Corniche Unit A,Dana Point,CA,92629,855000,2,2.0,Monarch Hills Condos (MHC),1130,952561,1989,45,757,700,Active,,,https://www.redfin.com/CA/Dana-Point/14-Corniche-Dr-92629/unit-A/home/5706276,CRMLS,OC26007165,N,Y,33.4889164,-117.7123772
MLS Listing,,Condo/Co-op,5475 Twin Lakes Dr,Cypress,CA,90630,599900,2,1.5,Other (OTHR),1156,154996,1979,45,519,550,Active,,,https://www.redfin.com/CA/Cypress/5475-Twin-Lakes-Dr-90630/home/5575327,CRMLS,PW26003759,N,Y,33.8338847,-118.0381539
MLS Listing,,Condo/Co-op,403 Aura Dr,Costa Mesa,CA,92626,1474800,4,3.0,Other (OTHR),2225,160314,2017,52,663,255,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Costa-Mesa/403-Aura-Dr-92626/home/167404937,CRMLS,OC26003133,N,Y,33.6686144,-117.9172481
MLS Listing,,Single Family Residential,730 S Stillwater,Anaheim,CA,92807,1466750,4,3.0,Other (OTHR),2563,7700,1977,58,572,193,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Anaheim/730-S-Stillwater-Ln-92807/home/4336429,CRMLS,OC25278000,N,Y,33.8372186,-117.7659785
MLS Listing,,Vacant Land,10 Williams Canyon Rd,Williams Canyon,CA,92676,325000,,,699 - Not Defined,,975744,,66,,,Active,,,https://www.redfin.com/CA/Williams-Canyon/10-Williams-Canyon-Rd-92676/home/191549087,CRMLS,OC25276743,N,Y,33.7647,-117.584128
MLS Listing,,Single Family Residential,13541 Dean,Tustin,CA,92780,1500000,5,3.0,Other (OTHR),2020,7245,1964,67,743,,Active,February-28-2026 02:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Tustin/13541-Dean-St-92780/home/3498338,CRMLS,PW25279391,N,Y,33.7366227,-117.8076782
MLS Listing,,Single Family Residential,3111 Gardenia,Yorba Linda,CA,92886,4500000,6,7.5,Pinnacle (PINC),6800,18730,2003,71,662,,Active,,,https://www.redfin.com/CA/Yorba-Linda/3111-Gardenia-Ln-92886/home/5849792,CRMLS,OC25276700,N,Y,33.9175995,-117.832549
MLS Listing,,Single Family Residential,337 E Chapman,Placentia,CA,92870,625000,2,2.5,Chapman Plaza (CHAP),1180,953,1980,75,530,430,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Placentia/337-E-Chapman-Ave-92870/home/199651599,CRMLS,PW25266182,N,Y,33.8716978,-117.8649125
MLS Listing,,Single Family Residential,3575 Falconridge Rd,Yorba Linda,CA,92886,988888,3,2.0,Other (OTHR),1567,26875,1985,115,631,,Active,,,https://www.redfin.com/CA/Yorba-Linda/3575-Falconridge-Rd-92886/home/4165303,CRMLS,OC25252520,N,Y,33.9067765,-117.7750315
MLS Listing,,Multi-Family (5+ Unit),315 S Garnsey St,Santa Ana,CA,92701,1750000,5,5.0,Other (OTHR),3656,6098,1964,120,479,,Active,,,https://www.redfin.com/CA/Santa-Ana/315-S-Garnsey-St-92701/home/195517799,CRMLS,PW25250502,N,Y,33.7426683,-117.8751807
MLS Listing,,Condo/Co-op,510 Bluegrass Way,Ladera Ranch,CA,92694,920000,3,3.0,Other (OTHR),1605,,2024,121,573,997,Active,,,https://www.redfin.com/CA/Ladera-Ranch/510-Bluegrass-Way-92694/home/200333609,CRMLS,OC25246529,N,Y,33.525679,-117.576048
MLS Listing,,Single Family Residential,1313 N Crestlane Pl,Anaheim,CA,92805,1080000,4,2.0,Other (OTHR),1480,6882,1960,134,730,,Active,,,https://www.redfin.com/CA/Anaheim/1313-N-Crestlane-Pl-92805/home/3345158,CRMLS,FR25240372,N,Y,33.8532558,-117.8974487
MLS Listing,,Condo/Co-op,26 Helena #69,Irvine,CA,92604,1078800,3,2.5,Heritage Park (HP),1633,87480,1977,164,661,410,Active,,,https://www.redfin.com/CA/Irvine/26-Helena-92604/unit-69/home/5473458,CRMLS,OC25219849,N,Y,33.6977981,-117.7741447
MLS Listing,,Condo/Co-op,31608 Los Rios #147,San Juan Capistrano,CA,92675,560000,2,2.0,Capistrano Villa Apts (CVA),1012,,1978,169,553,469,Active,,,https://www.redfin.com/CA/San-Juan-Capistrano/31608-Los-Rios-St-92675/unit-147/home/5467092,CRMLS,OC25215192,N,Y,33.5038553,-117.664684
MLS Listing,,Condo/Co-op,2005 Via Mariposa W Unit B,Laguna Woods,CA,92637,650000,2,2.0,Other (OTHR),1317,4500,1968,1,494,997,Active,,,https://www.redfin.com/CA/Laguna-Woods/2005-Via-Mariposa-W-92637/unit-B/home/11902415,CRMLS,OC26040140,N,Y,33.6135145,-117.7187813
MLS Listing,,Single Family Residential,28404 Buena Vis,Mission Viejo,CA,92692,969000,3,3.0,Casta Del Sol - Carmel (CR),1740,3478,1985,1,557,623,Pre On-Market,,,https://www.redfin.com/CA/Mission-Viejo/28404-Buena-Vis-92692/home/5045744,CRMLS,PW26043179,N,Y,33.6238637,-117.6345696
MLS Listing,,Single Family Residential,20892 Porter Rnch,Trabuco Canyon,CA,92679,1429000,4,3.0,RR - Robinson Ranch,2439,5800,1992,1,586,232,Pre On-Market,,,https://www.redfin.com/CA/Trabuco-Canyon/20892-Porter-Ranch-Rd-92679/home/5116534,CRMLS,OC26041292,N,Y,33.659078,-117.563159
MLS Listing,,Condo/Co-op,247 Calliope St,Laguna Beach,CA,92651,1599999,3,2.0,The Village (VIL),1500,,1984,1,1067,840,Pre On-Market,,,https://www.redfin.com/CA/Laguna-Beach/247-Calliope-St-92651/home/180907515,CRMLS,LG26044417,N,Y,33.531174,-117.773161
MLS Listing,,Single Family Residential,2705 E Orange Grove Ave,Orange,CA,92867,1368000,4,2.0,Other (OTHR),1308,6120,1956,1,1046,,Pre On-Market,,,https://www.redfin.com/CA/Orange/2705-E-Orange-Grove-Ave-92867/home/4393554,CRMLS,PW26044428,N,Y,33.796151,-117.8246632
MLS Listing,,Single Family Residential,22 Cresta Del Sol,San Clemente,CA,92673,3850000,5,5.5,Sea Pointe Estates (SPE),5371,11050,1992,1,717,475,Pre On-Market,March-15-2026 01:00 PM,March-15-2026 04:00 PM,https://www.redfin.com/CA/San-Clemente/22-Cresta-del-Sol-92673/home/4974045,CRMLS,OC26044407,N,Y,33.4624213,-117.6460124
MLS Listing,,Condo/Co-op,52 Terrace Cir N,Laguna Niguel,CA,92677,648000,2,1.0,Beacon Hill Terrace (BHT),925,141708,1981,1,701,699,Pre On-Market,,,https://www.redfin.com/CA/Laguna-Niguel/52-Terrace-Cir-92677/home/5701220,CRMLS,LG26044374,N,Y,33.5033417,-117.705104
MLS Listing,,Mobile/Manufactured Home,235 S Beach Blvd #115,Anaheim,CA,92804,300000,2,1.0,Cherokee,1140,,1967,1,263,547,Active,March-1-2026 12:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Anaheim/235-S-Beach-Blvd-92804/unit-115/home/51683672,CRMLS,OC26044408,N,Y,33.827926,-117.993625
MLS Listing,,Single Family Residential,29931 Happy Sparrow Ln,Laguna Niguel,CA,92677,1899000,3,3.0,Summit,2557,5355,1978,1,743,72,Active,March-7-2026 02:00 PM,March-7-2026 04:00 PM,https://www.redfin.com/CA/Laguna-Niguel/29931-Happy-Sparrow-Ln-92677/home/4931730,TheMLS,26656473,N,Y,33.5286673,-117.7218162
MLS Listing,,Single Family Residential,17 Rippling Strm,Irvine,CA,92603,3298000,4,2.0,Glen Patio Homes (PT),2367,10857,1976,1,1393,152,Pre On-Market,,,https://www.redfin.com/CA/Irvine/17-Rippling-Strm-92603/home/4742608,CRMLS,OC26044352,N,Y,33.6468272,-117.8094669
MLS Listing,,Single Family Residential,18 Sorrel,Lake Forest,CA,92630,2995000,5,5.5,Other (OTHR),4224,7639,2017,1,709,222,Pre On-Market,March-6-2026 10:00 AM,March-6-2026 02:00 PM,https://www.redfin.com/CA/Lake-Forest/18-Sorrel-92630/home/112722689,CRMLS,OC26044350,N,Y,33.6724873,-117.6758992
MLS Listing,,Single Family Residential,123 Calderon,Irvine,CA,92618,3560000,5,5.5,Other (OTHR),4676,7291,2016,1,761,235,Active,,,https://www.redfin.com/CA/Irvine/123-Calderon-92618/home/108244852,CRMLS,TR26044367,N,Y,33.6848776,-117.7338129
MLS Listing,,Single Family Residential,1261 Cabrillo Park Dr,Santa Ana,CA,92701,850000,2,2.0,Shady Hollow Patio Homes I (SHP1),1476,4275,1976,1,576,215,Active,March-1-2026 12:00 PM,March-1-2026 03:00 PM,https://www.redfin.com/CA/Santa-Ana/1261-Cabrillo-Park-Dr-92701/home/4475542,CRMLS,OC26043249,N,Y,33.7558198,-117.841237
MLS Listing,,Single Family Residential,23561 Via Ventura,Mission Viejo,CA,92692,1099000,2,2.0,Casta Del Sol - Pud (CS),1287,4211,1976,1,854,584,Pre On-Market,,,https://www.redfin.com/CA/Mission-Viejo/23561-Via-Ventura-92692/home/5072052,CRMLS,OC26044340,N,Y,33.6216085,-117.6413996
MLS Listing,,Condo/Co-op,74 Cinnamon Teal,Aliso Viejo,CA,92656,675000,2,2.0,Seagate Colony - Audubon (ASC),975,3097,1990,1,692,504,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Aliso-Viejo/74-Cinnamon-Teal-92656/home/5609816,CRMLS,OC26042018,N,Y,33.60042,-117.7442002
MLS Listing,,Condo/Co-op,194 California Ct,Mission Viejo,CA,92692,635000,2,2.0,California Court (CALC),900,60717,1993,1,706,581,Active,March-7-2026 01:00 PM,March-7-2026 04:00 PM,https://www.redfin.com/CA/Mission-Viejo/194-California-Ct-92692/home/5656903,CRMLS,OC26044290,N,Y,33.658509,-117.640781
MLS Listing,,Single Family Residential,24222 Ontario,Lake Forest,CA,92630,1399000,4,2.0,Lake Forest Keys (LK),1570,3300,1976,1,891,320,Active,March-1-2026 12:00 PM,March-1-2026 03:00 PM,https://www.redfin.com/CA/Lake-Forest/24222-Ontario-Ln-92630/home/4822250,CRMLS,OC26044203,N,Y,33.6473852,-117.7084028
MLS Listing,,Mobile/Manufactured Home,1001 W Lambert Rd #SPC 129,La Habra,CA,90631,265000,2,2.0,Friendly village,1368,,1972,1,194,,Active,,,https://www.redfin.com/CA/La-Habra/1001-W-Lambert-Rd-90631/unit-129/home/113759737,CRMLS,OC26043538,N,Y,33.9265731,-117.9571515
MLS Listing,,Single Family Residential,2155 Temple Hls,Laguna Beach,CA,92651,6995000,5,6.5,Temple Hills (TH),4800,24263,1975,1,1457,,Active,,,https://www.redfin.com/CA/Laguna-Beach/2155-Temple-Hills-Dr-92651/home/4886974,CRMLS,OC26044188,N,Y,33.5454302,-117.7630582
MLS Listing,,Single Family Residential,221 Clear Fls,Irvine,CA,92602,6998000,7,7.0,OH - Orchard Hills,6290,9177,2018,1,1113,385,Pre On-Market,,,https://www.redfin.com/CA/Irvine/221-Clear-Fls-92602/home/143911428,CRMLS,OC26044317,N,Y,33.7561927,-117.7534991
MLS Listing,,Condo/Co-op,30 Shade Tree,Irvine,CA,92603,2850000,3,3.5,Canyon's Edge (CYNE),2438,387191,2003,1,1169,366,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Irvine/30-Shade-Tree-92603/home/5943322,CRMLS,OC26003371,N,Y,33.6305306,-117.819384
MLS Listing,,Single Family Residential,21482 Countryside Dr,Lake Forest,CA,92630,2129000,3,2.0,Montbury On The Hill (MBY),1892,9200,1986,1,1125,200,Pre On-Market,,,https://www.redfin.com/CA/Lake-Forest/21482-Countryside-Dr-92630/home/4816814,CRMLS,OC26043962,N,Y,33.6507657,-117.6627646
MLS Listing,,Single Family Residential,1 Holly,Irvine,CA,92612,1925000,3,2.0,Parkside - Deane (PD),1663,5225,1974,1,1158,170,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/1-Holly-St-92612/home/4708021,CRMLS,OC26032036,N,Y,33.6587918,-117.8107294
MLS Listing,,Condo/Co-op,541 Berry,La Habra,CA,90631,699000,2,1.5,87 - La Habra,1438,1763,1975,1,486,545,Active,,,https://www.redfin.com/CA/La-Habra/541-Berry-Way-90631/home/3105025,CRMLS,MB26038815,N,Y,33.927373,-117.96737
MLS Listing,,Vacant Land,524 E Avenida Pico,San Clemente,CA,92672,670000,,,Other (OTHR),,10829,,1,,,Active,,,https://www.redfin.com/CA/San-Clemente/524-E-Avenida-Pico-92672/home/147018560,CRMLS,OC26040462,N,Y,33.4378874,-117.6231999
MLS Listing,,Condo/Co-op,3065 N Torrey Pne,Orange,CA,92865,890000,3,2.5,RVB - Riverbend,1627,689640,2008,1,547,383,Pre On-Market,March-14-2026 01:00 PM,March-14-2026 04:00 PM,https://www.redfin.com/CA/Orange/3065-N-Torrey-Pine-Ln-92865/home/17470662,CRMLS,PW26044292,N,Y,33.8373771,-117.8556944
MLS Listing,,Single Family Residential,1714 Saint James Pl,Placentia,CA,92870,1095000,4,2.0,Placentia,1974,8050,1963,1,555,,Pre On-Market,,,https://www.redfin.com/CA/Placentia/1714-Saint-James-Pl-92870/home/4193783,TheMLS,26657365,N,Y,33.893059,-117.8730005
MLS Listing,,Condo/Co-op,8085 Scholarship,Irvine,CA,92612,3499000,2,3.0,The Plaza (5000 and 8000) (PLZA),2376,95173,2007,1,1473,2870,Active,,,https://www.redfin.com/CA/Irvine/8085-Scholarship-92612/home/12255045,CRMLS,OC26042716,N,Y,33.665882,-117.853113
MLS Listing,,Single Family Residential,21916 Shenandoah,Lake Forest,CA,92630,1095000,3,2.0,LN - Lake Forest North,1249,5500,1978,1,877,105,Pre On-Market,,,https://www.redfin.com/CA/Lake-Forest/21916-Shenandoah-Dr-92630/home/5112190,CRMLS,OC26044204,N,Y,33.6446263,-117.663936
MLS Listing,,Single Family Residential,2435 W Broadway,Anaheim,CA,92804,984999,3,2.0,Other (OTHR),1505,7000,1958,1,654,,Active,,,https://www.redfin.com/CA/Anaheim/2435-W-Broadway-92804/home/3586811,CRMLS,TR26043765,N,Y,33.8289945,-117.9694976
MLS Listing,,Condo/Co-op,24055 Paseo Del Lago #562,Laguna Woods,CA,92637,165000,2,2.0,Leisure World (LW),1100,,1974,1,150,3180,Active,,,https://www.redfin.com/CA/Laguna-Woods/24055-Paseo-del-Lago-92637/unit-562/home/5371516,CRMLS,OC26044263,N,Y,33.613335,-117.744348
MLS Listing,,Condo/Co-op,14 Alcoba,Irvine,CA,92614,1059000,3,2.5,Las Palmas (LP),1407,80880,1991,1,753,457,Active,,,https://www.redfin.com/CA/Irvine/14-Alcoba-92614/home/5552907,CRMLS,OC26041229,N,Y,33.6764513,-117.8298376
MLS Listing,,Condo/Co-op,13721 Alderwood Ln Unit 28 E M3,Seal Beach,CA,90740,305000,1,1.0,Leisure World (LW),600,8000,1962,1,508,619,Active,,,https://www.redfin.com/CA/Seal-Beach/13721-Alderwood-Ln-90740/unit-28E/home/88633434,CRMLS,RS26035960,N,Y,33.7628792,-118.0883265
